"","x"
"1",0.7045493895
"2",0.38861501825
"3",0.1165664835
"4",0.374760867
"5",0.41361862025
"6",0.690826678875
"7",0.55200207575
"8",0.5161542125
"9",0.548629120875
"10",0.72764102575
"11",0.81484053725
"12",0.689712088125
"13",1.044596581375
"14",1.116019963375
"15",0.82464236875
"16",0.694593956125
"17",0.7787163005
"18",0.920058241875
"19",0.50798559225
"20",0.882602197875
"21",1.108662332
"22",0.970951526125
"23",0.704967399375
"24",0.146521917
"25",0.0266239315
"26",0.757798290625
"27",0.441539255125
"28",0.398680097625
"29",0.277136935375
"30",0.3906176435
"31",0.1005869965
"32",0.38468626375
"33",0.234233089125
"34",0.5912638585
"35",0.420975152625
"36",0.070665018375
"37",0.678836935375
"38",0.2279336995
"39",0.319244566625
"40",0.89551874225
"41",1.011292857125
"42",0.586834493375
"43",1.090223870625
"44",0.25113064725
"45",1.133984554375
"46",0.277228388375
"47",0.258854762
"48",0.291876679
"49",0.50980384625
"50",0.525713553
"51",0.57166001225
"52",0.356255250375
"53",0.139939499625
"54",0.2498481685
"55",0.57263907225
"56",0.46455280825
"57",0.358493589875
"58",0.295873382125
"59",0.25966550675
"60",0.22855348
"61",0.67019792425
"62",0.37525811975
"63",0.26648626375
"64",0.0760554945
"65",0.2718724665
"66",0.642411538625
"67",0.34535457875
"68",0.441516544625
"69",0.384963492125
"70",0.45962344325
"71",0.326596276
"72",0.290488400375
"73",0.1628724665
"74",0.381389743625
"75",0.335850183125
"76",0.528686813125
"77",0.0341003174
"78",0.580344444375
"79",1.352037118375
"80",0.73750042725
"81",0.11649859575
"82",0.047036874125
"83",0.182129914625
"84",0.880119047625
"85",0.69455653225
"86",0.3855909645
"87",0.558262393
"88",0.587644200375
"89",0.6702346155
"90",0.0831272895
"91",0.539428362142857
"92",0.672123809375
"93",0.6100713675
"94",0.632970573875
"95",0.69598260075
"96",0.2926808305
"97",0.3120504885
"98",0.64466105
"99",1.016110928
"100",0.705110378625
